emotion_label,emotion_intensity,label_time,label_state
'Calm',45,1666161295984,'continue'
'Calm',42,1666161296001,'continue'
'Calm',38,1666161296034,'continue'
'Calm',34,1666161296068,'continue'
'Calm',32,1666161296084,'continue'
'Calm',29,1666161296118,'continue'
'Calm',26,1666161296234,'continue'
'Calm',25,1666161296287,'continue'
'Calm',25,1666161296317,'end'
'Joy',24,1666161296317,'start'
'Joy',24,1666161296317,'continue'
'Joy',24,1666161296351,'continue'
'Joy',23,1666161296401,'continue'
'Joy',22,1666161296485,'continue'
'Joy',21,1666161296753,'continue'
'Joy',19,1666161297039,'continue'
'Joy',17,1666161297069,'continue'
'Joy',17,1666161297086,'end'
'Calm',16,1666161297086,'start'
'Calm',16,1666161297086,'continue'
'Calm',15,1666161297119,'continue'
'Calm',17,1666161297169,'continue'
'Calm',19,1666161297203,'continue'
'Calm',21,1666161297237,'continue'
'Calm',22,1666161297304,'continue'
'Calm',23,1666161297371,'continue'
'Calm',27,1666161299876,'continue'
'Calm',33,1666161299893,'continue'
'Calm',41,1666161299910,'continue'
'Calm',49,1666161299927,'continue'
'Calm',53,1666161299943,'continue'
'Calm',56,1666161299977,'continue'
'Calm',58,1666161300061,'continue'
'Calm',63,1666161300094,'continue'
'Calm',66,1666161300111,'continue'
'Calm',69,1666161300127,'continue'
'Calm',73,1666161300161,'continue'
'Calm',76,1666161300194,'continue'
'Calm',80,1666161300228,'continue'
'Calm',83,1666161300261,'continue'
'Calm',86,1666161300295,'continue'
'Calm',88,1666161300395,'continue'
'Calm',91,1666161300546,'continue'
'Calm',92,1666161300730,'continue'
'Calm',92,1666161301047,'continue'
'Calm',92,1666161302166,'continue'
'Calm',88,1666161316769,'continue'
'Calm',85,1666161317353,'continue'
'Calm',83,1666161317437,'continue'
'Calm',81,1666161317538,'continue'
'Calm',80,1666161317589,'continue'
'Calm',78,1666161317621,'continue'
'Calm',76,1666161317654,'continue'
'Calm',75,1666161317688,'continue'
'Calm',74,1666161317738,'continue'
'Calm',72,1666161317772,'continue'
'Calm',70,1666161317788,'continue'
'Calm',67,1666161317805,'continue'
'Calm',67,1666161317822,'end'
'Fear',65,1666161317822,'start'
'Fear',65,1666161317822,'continue'
'Fear',63,1666161317838,'continue'
'Fear',62,1666161317889,'continue'
'Fear',61,1666161317955,'continue'
'Fear',60,1666161318156,'continue'
'Fear',59,1666161318239,'continue'
'Fear',56,1666161318307,'continue'
'Fear',53,1666161318356,'continue'
'Fear',50,1666161318406,'continue'
'Fear',47,1666161318456,'continue'
'Fear',45,1666161318523,'continue'
'Fear',42,1666161318624,'continue'
'Fear',40,1666161319308,'continue'
'Fear',37,1666161319475,'continue'
'Fear',40,1666161329905,'continue'
'Fear',44,1666161333700,'continue'
'Fear',48,1666161333929,'continue'
'Fear',53,1666161333997,'continue'
'Fear',53,1666161334137,'end'
'Fear',55,1666161334149,'start'
'Fear',57,1666161334431,'continue'
'Fear',60,1666161334498,'continue'
'Fear',61,1666161334613,'continue'
'Fear',63,1666161334680,'continue'
'Fear',65,1666161334748,'continue'
'Fear',66,1666161334883,'continue'
'Fear',65,1666161335215,'continue'
'Fear',63,1666161335282,'continue'
'Fear',61,1666161335365,'continue'
'Fear',58,1666161335499,'continue'
'Fear',55,1666161335800,'continue'
'Fear',52,1666161335883,'continue'
'Fear',49,1666161335950,'continue'
'Fear',47,1666161335984,'continue'
'Fear',43,1666161336084,'continue'
'Fear',41,1666161336134,'continue'
'Fear',38,1666161336201,'continue'
'Fear',36,1666161336285,'continue'
'Fear',33,1666161337355,'continue'
'Fear',30,1666161338189,'continue'
'Fear',27,1666161338239,'continue'
'Fear',22,1666161338256,'continue'
'Fear',17,1666161338273,'continue'
'Fear',12,1666161338289,'continue'
'Fear',14,1666161338292,'end'
'Neutral',0,1666161338346,'start'
'Neutral',0,1666161338389,'continue'
'Neutral',0,1666161338407,'continue'
'Neutral',0,1666161338423,'continue'
'Neutral',0,1666161338440,'continue'
'Neutral',0,1666161338447,'end'
'Annoyance',23,1666161338820,'start'
'Annoyance',24,1666161339712,'continue'
'Annoyance',28,1666161339779,'continue'
'Annoyance',32,1666161339826,'continue'
'Annoyance',35,1666161339876,'continue'
'Annoyance',33,1666161340985,'continue'
'Annoyance',29,1666161341153,'continue'
'Annoyance',26,1666161341414,'continue'
'Annoyance',24,1666161342754,'continue'
'Annoyance',25,1666161343135,'continue'
'Annoyance',18,1666161343185,'continue'
'Annoyance',14,1666161343235,'continue'
'Annoyance',11,1666161343386,'continue'
'Annoyance',7,1666161343486,'continue'
'Annoyance',5,1666161343536,'continue'
'Annoyance',2,1666161343619,'continue'
'Annoyance',2,1666161343686,'end'
'Neutral',0,1666161343686,'start'
'Neutral',0,1666161343686,'continue'
'Neutral',0,1666161343753,'continue'
'Neutral',0,1666161343837,'continue'
'Neutral',0,1666161343971,'continue'
'Neutral',0,1666161344137,'continue'
'Neutral',0,1666161344271,'continue'
'Neutral',0,1666161344372,'continue'
'Neutral',0,1666161344421,'continue'
'Neutral',0,1666161344471,'continue'
'Neutral',0,1666161344538,'continue'
'Neutral',0,1666161345158,'continue'
'Neutral',0,1666161345392,'continue'
'Neutral',0,1666161345473,'continue'
'Neutral',0,1666161345523,'continue'
'Neutral',0,1666161345557,'continue'
'Neutral',0,1666161345574,'end'
'Calm',6,1666161345574,'start'
'Calm',6,1666161345574,'continue'
'Calm',16,1666161345590,'continue'
'Calm',22,1666161345607,'continue'
'Calm',27,1666161345624,'continue'
'Calm',31,1666161345640,'continue'
'Calm',32,1666161345653,'end'
'Calm',67,1666161345803,'start'
'Calm',69,1666161345837,'end'
'Calm',95,1666161346026,'start'
'Calm',93,1666161346392,'continue'
'Calm',91,1666161346527,'continue'
'Calm',88,1666161346643,'continue'
'Calm',86,1666161346694,'continue'
'Calm',84,1666161346743,'continue'
'Calm',81,1666161346810,'continue'
'Calm',78,1666161347027,'continue'
'Calm',76,1666161365809,'continue'
'Calm',72,1666161365842,'continue'
'Calm',74,1666161365842,'end'
'Calm',71,1666161365883,'start'
'Calm',70,1666161366160,'continue'
'Calm',67,1666161366613,'continue'
'Calm',65,1666161367283,'continue'
'Calm',63,1666161367317,'continue'
'Calm',62,1666161367334,'continue'
'Calm',58,1666161367362,'continue'
'Calm',55,1666161367378,'continue'
'Calm',53,1666161367395,'continue'
'Calm',49,1666161367412,'continue'
'Calm',49,1666161367428,'end'
'Joy',46,1666161367428,'start'
'Joy',46,1666161367428,'continue'
'Joy',43,1666161367445,'continue'
'Joy',41,1666161367462,'continue'
'Joy',40,1666161367478,'continue'
'Joy',39,1666161367495,'continue'
'Joy',37,1666161367512,'continue'
'Joy',35,1666161367529,'continue'
'Joy',34,1666161367546,'continue'
'Joy',33,1666161367562,'continue'
'Joy',32,1666161367579,'continue'
'Joy',31,1666161367596,'continue'
'Joy',30,1666161367612,'continue'
'Joy',30,1666161367629,'continue'
'Joy',29,1666161367646,'continue'
'Joy',28,1666161367663,'continue'
'Joy',28,1666161367679,'end'
'Anticipation',28,1666161367679,'start'
'Anticipation',28,1666161367679,'continue'
'Anticipation',30,1666161367696,'continue'
'Anticipation',33,1666161367713,'continue'
'Anticipation',35,1666161367730,'continue'
'Anticipation',38,1666161367746,'continue'
'Anticipation',41,1666161367779,'continue'
'Anticipation',45,1666161367812,'continue'
'Anticipation',47,1666161367829,'continue'
'Anticipation',51,1666161367864,'continue'
'Anticipation',54,1666161367880,'continue'
'Anticipation',56,1666161367896,'continue'
'Anticipation',58,1666161367946,'continue'
'Anticipation',61,1666161368918,'continue'
'Anticipation',64,1666161369035,'continue'
'Anticipation',66,1666161369216,'continue'
'Anticipation',65,1666161371946,'continue'
'Anticipation',62,1666161380652,'continue'
'Anticipation',60,1666161380879,'continue'
'Anticipation',57,1666161380930,'continue'
'Anticipation',54,1666161380947,'continue'
'Anticipation',53,1666161380978,'continue'
'Anticipation',47,1666161381012,'continue'
'Anticipation',44,1666161381030,'continue'
'Anticipation',42,1666161381045,'continue'
'Anticipation',39,1666161381062,'continue'
'Anticipation',39,1666161381079,'end'
'Joy',36,1666161381079,'start'
'Joy',36,1666161381079,'continue'
'Joy',31,1666161381095,'continue'
'Joy',28,1666161381112,'continue'
'Joy',26,1666161381129,'continue'
'Joy',25,1666161381145,'continue'
'Joy',24,1666161381162,'continue'
'Joy',25,1666161381179,'continue'
'Joy',26,1666161381196,'continue'
'Joy',26,1666161381213,'end'
'Calm',27,1666161381213,'start'
'Calm',27,1666161381213,'continue'
'Calm',29,1666161381229,'continue'
'Calm',31,1666161381246,'continue'
'Calm',33,1666161381263,'continue'
'Calm',36,1666161381280,'continue'
'Calm',38,1666161381296,'continue'
'Calm',41,1666161381313,'continue'
'Calm',43,1666161381330,'continue'
'Calm',45,1666161381347,'continue'
'Calm',49,1666161381363,'continue'
'Calm',52,1666161381380,'continue'
'Calm',55,1666161381397,'continue'
'Calm',60,1666161381431,'continue'
'Calm',62,1666161381448,'continue'
'Calm',64,1666161381464,'continue'
'Calm',67,1666161381481,'continue'
'Calm',71,1666161381513,'continue'
'Calm',75,1666161381546,'continue'
'Calm',76,1666161381747,'continue'
'Calm',77,1666161381797,'continue'
'Calm',76,1666161381831,'continue'
'Calm',75,1666161381859,'end'
'Calm',74,1666161382117,'start'
'Calm',73,1666161382417,'continue'
'Calm',72,1666161382482,'continue'
'Calm',73,1666161385525,'end'
'Calm',72,1666161385631,'start'
'Calm',69,1666161385691,'continue'
'Calm',67,1666161385721,'end'
'Calm',90,1666161387891,'start'
'Calm',87,1666161390058,'continue'
'Calm',84,1666161392407,'continue'
'Calm',83,1666161392457,'continue'
'Calm',82,1666161392508,'continue'
'Calm',81,1666161392558,'continue'
'Calm',80,1666161392592,'continue'
'Calm',78,1666161392625,'continue'
'Calm',77,1666161392658,'continue'
'Calm',75,1666161392709,'continue'
'Calm',74,1666161392860,'continue'
'Calm',73,1666161392908,'continue'
'Calm',72,1666161392958,'continue'
'Calm',71,1666161392992,'continue'
'Calm',70,1666161393075,'continue'
'Calm',70,1666161393142,'continue'
'Calm',69,1666161393226,'continue'
'Calm',69,1666161393276,'end'
'Joy',68,1666161393276,'start'
'Joy',68,1666161393276,'continue'
'Joy',68,1666161393310,'continue'
'Joy',67,1666161393360,'continue'
'Joy',67,1666161393443,'continue'
'Joy',63,1666161393778,'continue'
'Joy',57,1666161393795,'continue'
'Joy',51,1666161393811,'continue'
'Joy',47,1666161393845,'continue'
'Joy',45,1666161393862,'continue'
'Joy',43,1666161393879,'continue'
'Joy',40,1666161393895,'continue'
'Joy',37,1666161394095,'continue'
'Joy',38,1666161394547,'continue'
'Joy',39,1666161399709,'continue'
'Joy',44,1666161404815,'continue'
