client_time,device_time,data_type,data_value
1666161858264,1190939,'HUMIDITY',65.18
1666161858265,1190948,'LIGHT',930.83
1666161858314,1190955,'CO2',1623.0
1666161864309,1197080,'TEMPERATURE',18.76
1666161864311,1197081,'HUMIDITY',65.18
1666161864454,1197090,'LIGHT',932.49
1666161864505,1197097,'CO2',1623.0
1666161870451,1203222,'TEMPERATURE',18.76
1666161870506,1203223,'HUMIDITY',65.18
1666161870507,1203232,'LIGHT',931.66
1666161870508,1203239,'CO2',1622.0
1666161876692,1209364,'TEMPERATURE',18.76
1666161876693,1209365,'HUMIDITY',65.18
1666161876694,1209374,'LIGHT',931.66
1666161876695,1209381,'CO2',1621.0
1666161882737,1215506,'TEMPERATURE',18.76
1666161882738,1215507,'HUMIDITY',65.18
1666161882740,1215516,'LIGHT',933.33
1666161882741,1215523,'CO2',1620.0
1666161888977,1221648,'TEMPERATURE',18.76
1666161889026,1221649,'HUMIDITY',65.18
1666161889027,1221658,'LIGHT',931.66
1666161889028,1221665,'CO2',1621.0
1666161895074,1227790,'TEMPERATURE',18.76
1666161895075,1227791,'HUMIDITY',65.18
1666161895118,1227800,'LIGHT',931.66
1666161895119,1227807,'CO2',1620.0
1666161901273,1233932,'TEMPERATURE',18.76
1666161901274,1233933,'HUMIDITY',65.18
1666161901276,1233942,'LIGHT',931.66
1666161901277,1233949,'CO2',1621.0
1666161907310,1240074,'TEMPERATURE',18.76
1666161907355,1240075,'HUMIDITY',65.18
1666161907357,1240084,'LIGHT',933.33
1666161907455,1240089,'CO2',1620.0
1666161913498,1246214,'TEMPERATURE',18.76
1666161913500,1246215,'HUMIDITY',65.18
1666161913502,1246222,'LIGHT',931.66
1666161913503,1246229,'CO2',1622.0
1666161919596,1252353,'TEMPERATURE',18.76
1666161919597,1252354,'HUMIDITY',65.18
1666161919689,1252363,'LIGHT',932.49
1666161919691,1252370,'CO2',1624.0
1666161925734,1258495,'TEMPERATURE',18.76
1666161925783,1258496,'HUMIDITY',65.18
1666161925832,1258505,'LIGHT',931.66
1666161925834,1258510,'CO2',1625.0
1666161931877,1264635,'TEMPERATURE',20.83
1666161931879,1264636,'HUMIDITY',57.52
1666161932022,1264643,'LIGHT',931.66
1666161932024,1264650,'CO2',1628.0
1666161938021,1270775,'TEMPERATURE',20.83
1666161938068,1270776,'HUMIDITY',57.52
1666161938116,1270785,'LIGHT',931.66
1666161938170,1270792,'CO2',1629.0
1666161944259,1276917,'TEMPERATURE',20.83
1666161944307,1276918,'HUMIDITY',57.52
1666161944310,1276927,'LIGHT',931.66
1666161944311,1276934,'CO2',1632.0
1666161950303,1283059,'TEMPERATURE',20.83
1666161950402,1283060,'HUMIDITY',57.52
1666161950404,1283069,'LIGHT',931.66
1666161950405,1283076,'CO2',1634.0
1666161956451,1289200,'TEMPERATURE',20.83
1666161956451,1289201,'HUMIDITY',57.29
1666161956452,1289210,'LIGHT',932.49
1666161956453,1289217,'CO2',1634.0
1666161962638,1295342,'TEMPERATURE',20.86
1666161962640,1295343,'HUMIDITY',57.35
1666161962641,1295352,'LIGHT',931.66
1666161962642,1295359,'CO2',1632.0
1666161968731,1301483,'TEMPERATURE',20.86
1666161968779,1301484,'HUMIDITY',57.35
1666161968925,1301493,'LIGHT',932.49
1666161968926,1301500,'CO2',1644.0
1666161974834,1307624,'TEMPERATURE',20.86
1666161974971,1307625,'HUMIDITY',57.35
1666161975022,1307633,'LIGHT',934.16
1666161975024,1307641,'CO2',1645.0
1666161981015,1313765,'TEMPERATURE',20.86
1666161981017,1313766,'HUMIDITY',57.35
1666161981066,1313775,'LIGHT',931.66
1666161981069,1313782,'CO2',1646.0
1666161987121,1319906,'TEMPERATURE',20.86
1666161987207,1319907,'HUMIDITY',57.35
1666161987256,1319915,'LIGHT',932.49
1666161987257,1319922,'CO2',1646.0
1666161993252,1326046,'TEMPERATURE',20.86
1666161993253,1326047,'HUMIDITY',57.35
1666161993305,1326055,'LIGHT',931.66
1666161993306,1326062,'CO2',1645.0
1666161999443,1332187,'TEMPERATURE',20.86
1666161999492,1332188,'HUMIDITY',57.35
1666161999493,1332195,'LIGHT',933.33
1666161999639,1332202,'CO2',1644.0
1666162005538,1338326,'TEMPERATURE',20.86
1666162005540,1338327,'HUMIDITY',57.35
1666162005635,1338335,'LIGHT',931.66
1666162005701,1338340,'CO2',1646.0
